04052016;220;A;USD;3,5391;3,5397;1,0000;1,0000
05052016;220;A;USD;3,5290;3,5296;1,0000;1,0000
06052016;220;A;USD;3,5356;3,5362;1,0000;1,0000
09052016;220;A;USD;3,5380;3,5387;1,0000;1,0000
10052016;220;A;USD;3,4766;3,4772;1,0000;1,0000
11052016;220;A;USD;3,4639;3,4645;1,0000;1,0000
12052016;220;A;USD;3,4871;3,4877;1,0000;1,0000
13052016;220;A;USD;3,5035;3,5041;1,0000;1,0000
16052016;220;A;USD;3,5029;3,5035;1,0000;1,0000
17052016;220;A;USD;3,5031;3,5037;1,0000;1,0000
18052016;220;A;USD;3,5362;3,5368;1,0000;1,0000
19052016;220;A;USD;3,5997;3,6003;1,0000;1,0000
20052016;220;A;USD;3,5413;3,5419;1,0000;1,0000
23052016;220;A;USD;3,5654;3,5660;1,0000;1,0000
24052016;220;A;USD;3,5485;3,5491;1,0000;1,0000
25052016;220;A;USD;3,5798;3,5804;1,0000;1,0000
27052016;220;A;USD;3,6162;3,6168;1,0000;1,0000
30052016;220;A;USD;3,5991;3,5997;1,0000;1,0000
31052016;220;A;USD;3,5945;3,5951;1,0000;1,0000
01062016;220;A;USD;3,6120;3,6126;1,0000;1,0000
02062016;220;A;USD;3,5955;3,5961;1,0000;1,0000
03062016;220;A;USD;3,5403;3,5409;1,0000;1,0000
06062016;220;A;USD;3,5092;3,5098;1,0000;1,0000
07062016;220;A;USD;3,4739;3,4745;1,0000;1,0000
08062016;220;A;USD;3,3892;3,3898;1,0000;1,0000
09062016;220;A;USD;3,3811;3,3817;1,0000;1,0000
10062016;220;A;USD;3,4255;3,4261;1,0000;1,0000
13062016;220;A;USD;3,4527;3,4533;1,0000;1,0000
14062016;220;A;USD;3,4833;3,4839;1,0000;1,0000
15062016;220;A;USD;3,4762;3,4768;1,0000;1,0000
16062016;220;A;USD;3,4898;3,4904;1,0000;1,0000
17062016;220;A;USD;3,4366;3,4372;1,0000;1,0000
20062016;220;A;USD;3,3829;3,3835;1,0000;1,0000
21062016;220;A;USD;3,3891;3,3897;1,0000;1,0000
22062016;220;A;USD;3,3877;3,3883;1,0000;1,0000
23062016;220;A;USD;3,3527;3,3533;1,0000;1,0000
24062016;220;A;USD;3,3766;3,3772;1,0000;1,0000
27062016;220;A;USD;3,3928;3,3934;1,0000;1,0000
28062016;220;A;USD;3,3261;3,3267;1,0000;1,0000
29062016;220;A;USD;3,2429;3,2435;1,0000;1,0000
30062016;220;A;USD;3,2092;3,2098;1,0000;1,0000
01072016;220;A;USD;3,2292;3,2298;1,0000;1,0000
04072016;220;A;USD;3,2474;3,2480;1,0000;1,0000
05072016;220;A;USD;3,2898;3,2904;1,0000;1,0000
06072016;220;A;USD;3,3236;3,3242;1,0000;1,0000
07072016;220;A;USD;3,3382;3,3388;1,0000;1,0000
08072016;220;A;USD;3,2962;3,2968;1,0000;1,0000
11072016;220;A;USD;3,3025;3,3031;1,0000;1,0000
12072016;220;A;USD;3,2744;3,2750;1,0000;1,0000
13072016;220;A;USD;3,2890;3,2896;1,0000;1,0000
14072016;220;A;USD;3,2305;3,2311;1,0000;1,0000
15072016;220;A;USD;3,2650;3,2656;1,0000;1,0000
18072016;220;A;USD;3,2628;3,2634;1,0000;1,0000
19072016;220;A;USD;3,2795;3,2801;1,0000;1,0000
20072016;220;A;USD;3,2506;3,2512;1,0000;1,0000
21072016;220;A;USD;3,2579;3,2585;1,0000;1,0000
22072016;220;A;USD;3,2848;3,2854;1,0000;1,0000
25072016;220;A;USD;3,2813;3,2819;1,0000;1,0000
26072016;220;A;USD;3,2784;3,2790;1,0000;1,0000
27072016;220;A;USD;3,2814;3,2820;1,0000;1,0000
28072016;220;A;USD;3,2734;3,2740;1,0000;1,0000
29072016;220;A;USD;3,2384;3,2390;1,0000;1,0000
01082016;220;A;USD;3,2656;3,2662;1,0000;1,0000
02082016;220;A;USD;3,2484;3,2490;1,0000;1,0000
03082016;220;A;USD;3,2727;3,2733;1,0000;1,0000
04082016;220;A;USD;3,2177;3,2183;1,0000;1,0000
05082016;220;A;USD;3,1853;3,1859;1,0000;1,0000
08082016;220;A;USD;3,1765;3,1771;1,0000;1,0000
09082016;220;A;USD;3,1497;3,1503;1,0000;1,0000
10082016;220;A;USD;3,1296;3,1302;1,0000;1,0000
11082016;220;A;USD;3,1358;3,1364;1,0000;1,0000
12082016;220;A;USD;3,1596;3,1602;1,0000;1,0000
15082016;220;A;USD;3,1666;3,1672;1,0000;1,0000
16082016;220;A;USD;3,1743;3,1749;1,0000;1,0000
17082016;220;A;USD;3,2242;3,2248;1,0000;1,0000
18082016;220;A;USD;3,2209;3,2215;1,0000;1,0000
19082016;220;A;USD;3,2261;3,2267;1,0000;1,0000
22082016;220;A;USD;3,2157;3,2163;1,0000;1,0000
23082016;220;A;USD;3,2047;3,2054;1,0000;1,0000
24082016;220;A;USD;3,2366;3,2372;1,0000;1,0000
25082016;220;A;USD;3,2313;3,2319;1,0000;1,0000
26082016;220;A;USD;3,2147;3,2153;1,0000;1,0000
29082016;220;A;USD;3,2607;3,2613;1,0000;1,0000
30082016;220;A;USD;3,2519;3,2525;1,0000;1,0000
31082016;220;A;USD;3,2397;3,2403;1,0000;1,0000
01092016;220;A;USD;3,2466;3,2472;1,0000;1,0000
02092016;220;A;USD;3,2425;3,2431;1,0000;1,0000
05092016;220;A;USD;3,2715;3,2721;1,0000;1,0000
06092016;220;A;USD;3,2446;3,2452;1,0000;1,0000
08092016;220;A;USD;3,1928;3,1934;1,0000;1,0000
09092016;220;A;USD;3,2632;3,2638;1,0000;1,0000
12092016;220;A;USD;3,2848;3,2854;1,0000;1,0000
13092016;220;A;USD;3,2966;3,2972;1,0000;1,0000
14092016;220;A;USD;3,3256;3,3262;1,0000;1,0000
15092016;220;A;USD;3,3320;3,3326;1,0000;1,0000
16092016;220;A;USD;3,2998;3,3004;1,0000;1,0000
19092016;220;A;USD;3,2630;3,2636;1,0000;1,0000
20092016;220;A;USD;3,2534;3,2540;1,0000;1,0000
21092016;220;A;USD;3,2402;3,2408;1,0000;1,0000
22092016;220;A;USD;3,2009;3,2015;1,0000;1,0000
23092016;220;A;USD;3,2236;3,2242;1,0000;1,0000
26092016;220;A;USD;3,2394;3,2400;1,0000;1,0000
27092016;220;A;USD;3,2352;3,2358;1,0000;1,0000
28092016;220;A;USD;3,2470;3,2476;1,0000;1,0000
29092016;220;A;USD;3,2229;3,2235;1,0000;1,0000
30092016;220;A;USD;3,2456;3,2462;1,0000;1,0000
03102016;220;A;USD;3,2332;3,2338;1,0000;1,0000
04102016;220;A;USD;3,2197;3,2203;1,0000;1,0000
05102016;220;A;USD;3,2353;3,2359;1,0000;1,0000
06102016;220;A;USD;3,2304;3,2310;1,0000;1,0000
07102016;220;A;USD;3,2128;3,2134;1,0000;1,0000
10102016;220;A;USD;3,2119;3,2125;1,0000;1,0000
11102016;220;A;USD;3,2130;3,2136;1,0000;1,0000
13102016;220;A;USD;3,2081;3,2087;1,0000;1,0000
14102016;220;A;USD;3,1858;3,1864;1,0000;1,0000
17102016;220;A;USD;3,1957;3,1963;1,0000;1,0000
18102016;220;A;USD;3,1868;3,1874;1,0000;1,0000
19102016;220;A;USD;3,1794;3,1800;1,0000;1,0000
20102016;220;A;USD;3,1599;3,1605;1,0000;1,0000
21102016;220;A;USD;3,1587;3,1593;1,0000;1,0000
24102016;220;A;USD;3,1305;3,1311;1,0000;1,0000
25102016;220;A;USD;3,1187;3,1193;1,0000;1,0000
26102016;220;A;USD;3,1213;3,1219;1,0000;1,0000
27102016;220;A;USD;3,1423;3,1429;1,0000;1,0000
28102016;220;A;USD;3,1809;3,1815;1,0000;1,0000
31102016;220;A;USD;3,1805;3,1811;1,0000;1,0000
01112016;220;A;USD;3,2047;3,2053;1,0000;1,0000
03112016;220;A;USD;3,2304;3,2310;1,0000;1,0000
